"CODE","NAME","FDATE","TEMP_MIN","TEMP_MAX","TEMP_AVG","RAIN_AVG","WIND_AVG","WIND_DEG","WIND_MAX","HUM_AVG","RAINP_AM","RAINP_PM","PRED_OZ","PRED_NO2","PRED_CO","PRED_SO","PRED_PM10","PRED_PM25"
1168066000,"°­³²±¸","2024-07-16",24,32,26,1,2,"³²µ¿Ç³",3,80,"0%","60%",0.028,0.014,0.3,0.003,0,0
1168066000,"°­³²±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,89,"60%","60%",0.035,0.009,0.3,0.003,0,1
1168066000,"°­³²±¸","2024-07-18",24,28,26,0,3,"³²¼­Ç³",4,91,"60%","70%",0.029,0.013,0.3,0.003,0,1
1174051500,"°­µ¿±¸","2024-07-16",23,31,26,1,2,"³²µ¿Ç³",3,80,"0%","60%",0.027,0.015,0.4,0.003,0,0
1174051500,"°­µ¿±¸","2024-07-17",23,31,25,2,3,"³²¼­Ç³",4,88,"30%","60%",0.036,0.009,0.3,0.003,0,1
1174051500,"°­µ¿±¸","2024-07-18",23,28,25,0,3,"³²¼­Ç³",4,90,"60%","80%",0.033,0.013,0.3,0.003,0,1
1130553500,"°­ºÏ±¸","2024-07-16",22,32,27,1,2,"³²µ¿Ç³",3,79,"0%","60%",0.027,0.012,0.3,0.003,0,0
1130553500,"°­ºÏ±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,89,"30%","60%",0.033,0.009,0.3,0.003,0,1
1130553500,"°­ºÏ±¸","2024-07-18",25,28,26,0,2,"³²¼­Ç³",4,90,"60%","90%",0.022,0.015,0.3,0.003,0,0
1150060300,"°­¼­±¸","2024-07-16",25,32,26,1,3,"³²µ¿Ç³",3,81,"0%","60%",0.031,0.014,0.3,0.003,0,0
1150060300,"°­¼­±¸","2024-07-17",24,31,26,2,4,"³²¼­Ç³",5,90,"30%","60%",0.036,0.006,0.3,0.003,1,1
1150060300,"°­¼­±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,93,"60%","80%",0.03,0.014,0.3,0.003,0,1
1162058500,"°ü¾Ç±¸","2024-07-16",24,32,26,1,2,"³²µ¿Ç³",3,81,"0%","60%",0.03,0.014,0.4,0.003,0,0
1162058500,"°ü¾Ç±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,89,"60%","60%",0.034,0.012,0.3,0.003,0,1
1162058500,"°ü¾Ç±¸","2024-07-18",24,27,26,0,3,"³²¼­Ç³",4,91,"60%","70%",0.028,0.014,0.3,0.003,0,1
1121581000,"±¤Áø±¸","2024-07-16",24,31,26,1,2,"³²µ¿Ç³",3,78,"0%","60%",0.025,0.015,0.3,0.003,0,0
1121581000,"±¤Áø±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,86,"60%","60%",0.035,0.01,0.3,0.004,1,1
1121581000,"±¤Áø±¸","2024-07-18",24,28,25,0,3,"³²¼­Ç³",4,87,"60%","70%",0.028,0.013,0.3,0.004,0,0
1153059500,"±¸·Î±¸","2024-07-16",25,32,27,1,3,"³²µ¿Ç³",3,78,"0%","60%",0.026,0.014,0.3,0.004,0,0
1153059500,"±¸·Î±¸","2024-07-17",24,30,26,2,4,"³²¼­Ç³",4,86,"30%","60%",0.038,0.014,0.3,0.005,0,1
1153059500,"±¸·Î±¸","2024-07-18",24,27,26,0,3,"³²¼­Ç³",4,89,"60%","70%",0.028,0.015,0.3,0.003,0,1
1154551000,"±ÝÃµ±¸","2024-07-16",25,32,27,1,3,"³²µ¿Ç³",3,78,"0%","60%",0.026,0.014,0.3,0.004,0,0
1154551000,"±ÝÃµ±¸","2024-07-17",24,30,26,2,4,"³²¼­Ç³",4,86,"30%","60%",0.038,0.014,0.3,0.005,0,1
1154551000,"±ÝÃµ±¸","2024-07-18",24,27,26,0,3,"³²¼­Ç³",4,89,"60%","70%",0.028,0.015,0.3,0.003,0,1
1135059500,"³ë¿ø±¸","2024-07-16",22,32,27,1,2,"³²µ¿Ç³",3,79,"0%","60%",0.027,0.012,0.3,0.003,0,0
1135059500,"³ë¿ø±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,89,"30%","60%",0.033,0.009,0.3,0.003,0,1
1135059500,"³ë¿ø±¸","2024-07-18",25,28,26,0,2,"³²¼­Ç³",4,90,"60%","90%",0.022,0.015,0.3,0.003,0,0
1132052100,"µµºÀ±¸","2024-07-16",24,31,26,1,2,"³²µ¿Ç³",3,81,"0%","60%",0.029,0.014,0.4,0.003,0,0
1132052100,"µµºÀ±¸","2024-07-17",23,30,25,2,3,"³²¼­Ç³",4,91,"30%","60%",0.034,0.01,0.3,0.003,0,1
1132052100,"µµºÀ±¸","2024-07-18",24,27,25,0,2,"³²¼­Ç³",3,92,"60%","90%",0.026,0.018,0.4,0.003,0,0
1123060000,"µ¿´ë¹®±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,79,"0%","60%",0.026,0.014,0.3,0.003,0,0
1123060000,"µ¿´ë¹®±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,88,"60%","60%",0.034,0.009,0.3,0.003,0,1
1123060000,"µ¿´ë¹®±¸","2024-07-18",24,28,25,0,3,"³²¼­Ç³",4,89,"60%","80%",0.028,0.013,0.3,0.004,0,0
1159051000,"µ¿ÀÛ±¸","2024-07-16",24,32,26,1,2,"³²µ¿Ç³",3,81,"0%","60%",0.03,0.014,0.3,0.003,0,0
1159051000,"µ¿ÀÛ±¸","2024-07-17",24,30,26,2,3,"³²¼­Ç³",4,89,"60%","60%",0.035,0.013,0.3,0.003,0,1
1159051000,"µ¿ÀÛ±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.029,0.014,0.3,0.003,0,1
1144056500,"¸¶Æ÷±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,81,"0%","60%",0.028,0.014,0.3,0.003,0,0
1144056500,"¸¶Æ÷±¸","2024-07-17",24,30,26,2,3,"³²¼­Ç³",4,89,"60%","60%",0.033,0.011,0.3,0.003,0,1
1144056500,"¸¶Æ÷±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.027,0.015,0.3,0.003,0,0
1141069000,"¼­´ë¹®±¸","2024-07-16",24,32,26,1,3,"³²µ¿Ç³",3,80,"0%","60%",0.027,0.014,0.3,0.003,0,0
1141069000,"¼­´ë¹®±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,90,"30%","60%",0.035,0.013,0.3,0.003,0,1
1141069000,"¼­´ë¹®±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.027,0.015,0.3,0.003,0,0
1165066000,"¼­ÃÊ±¸","2024-07-16",22,32,26,1,2,"³²µ¿Ç³",3,82,"0%","60%",0.03,0.012,0.4,0.003,0,1
1165066000,"¼­ÃÊ±¸","2024-07-17",23,30,25,1,3,"³²¼­Ç³",4,89,"60%","60%",0.035,0.01,0.3,0.003,0,1
1165066000,"¼­ÃÊ±¸","2024-07-18",24,27,26,0,3,"³²¼­Ç³",5,92,"60%","60%",0.026,0.012,0.3,0.004,0,1
1120059000,"¼ºµ¿±¸","2024-07-16",25,32,26,1,2,"³²µ¿Ç³",3,78,"0%","60%",0.025,0.015,0.4,0.004,0,0
1120059000,"¼ºµ¿±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,88,"60%","60%",0.034,0.009,0.3,0.003,0,1
1120059000,"¼ºµ¿±¸","2024-07-18",23,28,26,0,3,"³²¼­Ç³",4,91,"60%","70%",0.033,0.013,0.3,0.003,0,1
1129066000,"¼ºº¹±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,79,"0%","60%",0.026,0.014,0.3,0.003,0,0
1129066000,"¼ºº¹±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,88,"60%","60%",0.034,0.009,0.3,0.003,0,1
1129066000,"¼ºº¹±¸","2024-07-18",24,28,25,0,3,"³²¼­Ç³",4,89,"60%","80%",0.028,0.013,0.3,0.004,0,0
1171063100,"¼ÛÆÄ±¸","2024-07-16",25,32,26,1,2,"³²µ¿Ç³",3,78,"0%","60%",0.026,0.015,0.4,0.004,1,1
1171063100,"¼ÛÆÄ±¸","2024-07-17",24,31,26,1,3,"³²¼­Ç³",4,87,"60%","60%",0.034,0.009,0.3,0.004,0,1
1171063100,"¼ÛÆÄ±¸","2024-07-18",24,28,26,0,3,"³²¼­Ç³",4,88,"60%","70%",0.028,0.013,0.3,0.004,0,0
1147051000,"¾çÃµ±¸","2024-07-16",26,32,26,1,3,"³²µ¿Ç³",3,79,"0%","60%",0.025,0.015,0.3,0.004,0,0
1147051000,"¾çÃµ±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,88,"30%","60%",0.036,0.014,0.3,0.004,1,1
1147051000,"¾çÃµ±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,90,"60%","70%",0.029,0.014,0.3,0.003,0,1
1156055000,"¿µµîÆ÷±¸","2024-07-16",26,32,26,1,3,"³²µ¿Ç³",3,79,"0%","60%",0.025,0.015,0.3,0.004,0,0
1156055000,"¿µµîÆ÷±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,88,"30%","60%",0.036,0.014,0.3,0.004,1,1
1156055000,"¿µµîÆ÷±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,90,"60%","70%",0.029,0.014,0.3,0.003,0,1
1117053000,"¿ë»ê±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,81,"0%","60%",0.028,0.014,0.3,0.003,0,0
1117053000,"¿ë»ê±¸","2024-07-17",24,30,26,2,3,"³²¼­Ç³",4,89,"60%","60%",0.033,0.011,0.3,0.003,0,1
1117053000,"¿ë»ê±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.027,0.015,0.3,0.003,0,0
1138055100,"ÀºÆò±¸","2024-07-16",25,32,26,1,3,"³²µ¿Ç³",3,80,"0%","60%",0.026,0.015,0.3,0.003,0,0
1138055100,"ÀºÆò±¸","2024-07-17",24,31,25,2,3,"³²¼­Ç³",4,90,"30%","60%",0.036,0.01,0.3,0.003,0,1
1138055100,"ÀºÆò±¸","2024-07-18",24,27,25,0,2,"³²¼­Ç³",4,91,"60%","70%",0.025,0.016,0.3,0.003,0,0
1111060000,"Á¾·Î±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,80,"0%","60%",0.027,0.014,0.3,0.004,0,0
1111060000,"Á¾·Î±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,88,"60%","60%",0.033,0.012,0.3,0.003,0,1
1111060000,"Á¾·Î±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.026,0.015,0.3,0.003,0,0
1114059000,"Áß±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,80,"0%","60%",0.027,0.014,0.3,0.004,0,0
1114059000,"Áß±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,88,"60%","60%",0.033,0.012,0.3,0.003,0,1
1114059000,"Áß±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.026,0.015,0.3,0.003,0,0
1126065500,"Áß¶û±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,79,"0%","60%",0.025,0.015,0.4,0.003,0,0
1126065500,"Áß¶û±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,87,"60%","60%",0.034,0.01,0.3,0.004,0,1
1126065500,"Áß¶û±¸","2024-07-18",24,28,25,0,3,"³²¼­Ç³",4,89,"60%","80%",0.027,0.014,0.3,0.003,0,0
